,bankCode,bankName,accountTypeName,accountDscription,subscriptionPeriod,minSubscriptionBalance,maxSubscriptionBalance,interesRate,type,accountTypeCode
0,D07,머스트삼일저축은행,정기예금 복리식,일정금액을 일정기간 동안 예치하여 예치기간이 만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합,1개월 이상,10만원 이상,제한없음,1.0,deposit,1
1,007,수협은행,헤이(Hey)정기예금,우대금리 조건없이 간단하며 이벤트시 특별금리를 제공하는 비대면 정기예금,12개월,십만원 이상,2억원 이하,3.95,deposit,2
2,007,수협은행,헤이(Hey)정기예금,우대금리 조건없이 간단하며 이벤트시 특별금리를 제공하는 비대면 정기예금,6개월 이상,십만원 이상,2억원 이하,3.8,deposit,3
3,A11,HB 저축은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,24개월 이상,10만원 이상,제한없음,3.6,deposit,4
4,032,부산은행,메리트정기예금,시장실세금리에 연동한 약정금리를 만기일까지 적용하는 확정금리 정기예금으로 단기 고금리 상품입,3개월 이상,5백만원,제한없음,2.35,deposit,5
5,032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",24개월 이상,100원,제한없음,2.8,deposit,6
6,032,부산은행,LIVE정기예금,특판 전용 정기예금,12개월 이상,1천만원,제한없음,2.65,deposit,7
7,034,광주은행,행운박스예금,「행운박스」에 수시「이벤트」를 시행·판매하는 개인전용 정기예금,3개월,1백만원 이상,1억원 이하,3.1,deposit,8
8,D02,대백저축은행,애플정기예금복리식(인터넷뱅킹),목돈을 운영할 수 있는 예금상품 (만기일시 원리금 지급),12개월,"100,000원 이상",제한없음,4.2,deposit,9
9,032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",12개월 이상,100원,제한없음,2.65,deposit,10
10,E05,센트럴저축은행,e-정기예금(단리식),일정기간을 정하여 자금을 예치하고 확정금리로 운영되는 상품,3개월 이상,10만원 이상,제한없음,2.1,deposit,11
11,E04,삼호저축은행,정기예금(단리식),일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 만료되었을때 정해진 이자를 받는 상품,24개월 이상,10만원 이상,제한없음,3.7,deposit,12
12,004,국민은행,일반정기예금,목돈을 일정기간동안 예치하여 안정적인 수익을 목적으로 하는 일시예치식 예금,6개월 이상,10만원,제한없음,2.3,deposit,13
13,032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",36개월 이상,100원,제한없음,2.75,deposit,14
14,032,부산은행,메리트정기예금,시장실세금리에 연동한 약정금리를 만기일까지 적용하는 확정금리 정기예금으로 단기 고금리 상품입,12개월,5백만원,제한없음,2.75,deposit,15
15,032,부산은행,메리트정기예금,시장실세금리에 연동한 약정금리를 만기일까지 적용하는 확정금리 정기예금으로 단기 고금리 상품입,1개월 이상,5백만원,제한없음,2.15,deposit,16
16,032,부산은행,LIVE정기예금,특판 전용 정기예금,3개월 이상,1천만원,제한없음,2.35,deposit,17
17,A06,OSB저축은행,단리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",24개월 이상,10만원,제한없음,3.7,deposit,18
18,A10,민국저축은행,e-행복정기예금단리식,인터넷뱅킹을 이용하여 가입가능한 목돈굴리기 상품입니다.,6개월 이상,10만원,제한없음,2.5,deposit,19
19,A06,OSB저축은행,단리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",1개월 이상,10만원,제한없음,1.2,deposit,20
20,A06,OSB저축은행,단리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",3개월 이상,10만원,제한없음,1.9,deposit,21
21,A10,민국저축은행,e-행복정기예금단리식,인터넷뱅킹을 이용하여 가입가능한 목돈굴리기 상품입니다.,12개월 이상,10만원,제한없음,3.8,deposit,22
22,A10,민국저축은행,e-행복정기예금복리식,인터넷뱅킹을 이용하여 가입가능한 목돈굴리기 상품입니다.,3개월 이상,10만원,제한없음,1.8,deposit,23
23,F05,오투저축은행,e-복리정기예금,일정기간 동안 목돈을 예치하고 만기에 이자를 지급 받는 거치식 상품,6개월이상,10만원이상,제한없음,3.5,deposit,24
24,A10,민국저축은행,e-행복정기예금단리식,인터넷뱅킹을 이용하여 가입가능한 목돈굴리기 상품입니다.,3개월 이상,10만원,제한없음,1.8,deposit,25
25,B03,남양저축은행,비대면-정기예금복리식,"일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 
만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합",6개월 이상,10만원,제한없음,3.0,deposit,26
26,B05,부림저축은행,정기예금(복리식),목돈을 일정기간동안 예치하고 원금과 이자를 함께 받는 목돈 굴리기 상품 (창구 전용),3개월 이상,10만원,제한없음,2.2,deposit,27
27,B05,부림저축은행,톡톡정기예금(단리식),"목돈을 일정기간동안 예치하고 매월 이자를 받는 목돈 굴리기 상품
 영업점을 방문하지않고 가입이 가능한 상품입니다.(비대면전용상품)",1개월 이상,10만원,제한없음,2.0,deposit,28
28,D07,머스트삼일저축은행,정기예금 복리식,일정금액을 일정기간 동안 예치하여 예치기간이 만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합,3개월 이상,10만원 이상,제한없음,1.0,deposit,29
29,032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",12개월 이상,100원,제한없음,2.75,deposit,30
30,032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",36개월 이상,100원,제한없음,2.85,deposit,31
31,032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",1개월 이상,100원,제한없음,2.15,deposit,32
32,032,부산은행,메리트정기예금,시장실세금리에 연동한 약정금리를 만기일까지 적용하는 확정금리 정기예금으로 단기 고금리 상품입,12개월,5백만원,제한없음,2.65,deposit,33
33,032,부산은행,메리트정기예금,시장실세금리에 연동한 약정금리를 만기일까지 적용하는 확정금리 정기예금으로 단기 고금리 상품입,3개월 이상,5백만원,제한없음,2.45,deposit,34
34,A17,웰컴저축은행,m - 정기예금 (단리),여유자금을 일정기간 동안 확정금리로 예치하여 이자 수익을 얻을 수 있는 거치식 상품,36개월,10만원이상,제한없음,3.5,deposit,35
35,032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",1개월 이상,100원,제한없음,2.25,deposit,36
36,F05,오투저축은행,e-정기예금,일정기간 동안 목돈을 예치하고 매월 이자를 지급 받는 거치식 상품,3개월이상,10만원이상,제한없음,3.0,deposit,37
37,032,부산은행,LIVE정기예금,특판 전용 정기예금,36개월 이상,1천만원,제한없음,2.75,deposit,38
38,032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",3개월 이상,100원,제한없음,2.45,deposit,39
39,034,광주은행,행운박스예금,「행운박스」에 수시「이벤트」를 시행·판매하는 개인전용 정기예금,24개월,1백만원 이상,1억원 이하,3.1,deposit,40
40,F05,오투저축은행,비대면 정기예금(복리),일정기간 동안 목돈을 예치하고 만기에 이자를 지급하는 거치식 상품,24개월이상,10만원이상,제한없음,3.9,deposit,41
41,F05,오투저축은행,정기예금,일정기간 동안목돈을 예치하고 만기에  이자를 지급 받는 거치식 상품,24개월이상,10만원이상,제한없음,3.9,deposit,42
42,032,부산은행,LIVE정기예금,특판 전용 정기예금,1개월 이상,1천만원,제한없음,2.25,deposit,43
43,034,광주은행,행운박스예금,「행운박스」에 수시「이벤트」를 시행·판매하는 개인전용 정기예금,36개월,1백만원 이상,1억원 이하,3.0,deposit,44
44,032,부산은행,LIVE정기예금,특판 전용 정기예금,36개월 이상,1천만원,제한없음,2.85,deposit,45
45,039,경남은행,올해는예금(시즌3),신규고객에 우대금리를 제공하는 비대면 정기예금 특판상품,6개월,1백만원 이상,10억원 이하,2.7,deposit,46
46,039,경남은행,올해는예금(시즌3),신규고객에 우대금리를 제공하는 비대면 정기예금 특판상품,12개월,1백만원 이상,10억원 이하,3.05,deposit,47
47,007,수협은행,일반정기예금,계약기간을 1개월이상 5년이하로 하는 거치식예금,12개월 이상,1만원 이상,제한없음,2.5,deposit,48
48,D07,머스트삼일저축은행,정기예금 복리식,일정금액을 일정기간 동안 예치하여 예치기간이 만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합,6개월 이상,10만원 이상,제한없음,3.0,deposit,49
49,088,신한은행,Tops보증 정기예금,회전기간 단위로 계약기간 이내에서 이자율이 변경 적용되는 정기예금,12개월 이상,3백만원 이상,제한없음,2.25,deposit,50
50,D07,머스트삼일저축은행,정기예금 복리식,일정금액을 일정기간 동안 예치하여 예치기간이 만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합,12개월 이상,10만원 이상,제한없음,3.8,deposit,51
51,088,신한은행,Tops보증 정기예금,회전기간 단위로 계약기간 이내에서 이자율이 변경 적용되는 정기예금,12개월 이상,3백만원 이상,제한없음,2.55,deposit,52
52,088,신한은행,Tops보증 정기예금,회전기간 단위로 계약기간 이내에서 이자율이 변경 적용되는 정기예금,12개월 이상,3백만원 이상,제한없음,2.75,deposit,53
53,088,신한은행,Tops보증 정기예금,회전기간 단위로 계약기간 이내에서 이자율이 변경 적용되는 정기예금,24개월 이상,3백만원 이상,제한없음,2.85,deposit,54
54,004,국민은행,일반정기예금,목돈을 일정기간동안 예치하여 안정적인 수익을 목적으로 하는 일시예치식 예금,1개월 이상,10만원,제한없음,1.65,deposit,55
55,A09,The-K 저축은행,회전식 정기예금,계약기간 회전주기(매 12개월) 단위로 약정이율이 변동되는 거치식 변동금리 정기예금 상품,36개월,10만원 이상,제한없음,4.1,deposit,56
56,D07,머스트삼일저축은행,정기예금 복리식,일정금액을 일정기간 동안 예치하여 예치기간이 만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합,24개월 이상,10만원 이상,제한없음,2.8,deposit,57
57,D07,머스트삼일저축은행,정기예금 복리식,일정금액을 일정기간 동안 예치하여 예치기간이 만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합,36개월 이상,10만원 이상,제한없음,2.8,deposit,58
58,A09,The-K 저축은행,정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 예금,1개월 이상,10만원 이상,제한없음,1.0,deposit,59
59,A09,The-K 저축은행,정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 예금,3개월 이상,10만원 이상,제한없음,1.1,deposit,60
60,A09,The-K 저축은행,정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 예금,6개월,10만원 이상,제한없음,3.2,deposit,61
61,A09,The-K 저축은행,정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 예금,6개월 초과,10만원 이상,제한없음,2.7,deposit,62
62,A09,The-K 저축은행,정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 예금,9개월 이상,10만원 이상,제한없음,3.8,deposit,63
63,A09,The-K 저축은행,정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 예금,12개월 이상,10만원 이상,제한없음,4.1,deposit,64
64,007,수협은행,일반정기예금,계약기간을 1개월이상 5년이하로 하는 거치식예금,36개월,1만원 이상,제한없음,2.7,deposit,65
65,A09,The-K 저축은행,e-정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 온라인가입전용 예금,1개월 이상,10만원 이상,제한없음,1.0,deposit,66
66,A09,The-K 저축은행,e-정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 온라인가입전용 예금,3개월 이상,10만원 이상,제한없음,1.1,deposit,67
67,020,우리은행,정기예금,원하는 기간동안 자유롭게 목돈 굴리기,24개월 이상,제한없음,제한없음,2.8,deposit,68
68,A09,The-K 저축은행,e-정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 온라인가입전용 예금,6개월,10만원 이상,제한없음,3.2,deposit,69
69,A09,The-K 저축은행,e-정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 온라인가입전용 예금,6개월 이상,10만원 이상,제한없음,2.7,deposit,70
70,A09,The-K 저축은행,e-정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 온라인가입전용 예금,9개월 이상,10만원 이상,제한없음,3.8,deposit,71
71,A09,The-K 저축은행,e-정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 온라이가입전용 예금,12개월 이상,10만원 이상,제한없음,4.1,deposit,72
72,A09,The-K 저축은행,e-정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 온라인가입전용 예금,18개월 이상,10만원 이상,제한없음,3.3,deposit,73
73,A09,The-K 저축은행,e-회전식 정기예금,계약기간 회전주기(매 12개월) 단위로 약정이율이 변동되는 온라인가입전용 거치식 변동금리 정기예금 상품,36개월,10만원 이상,제한없음,4.1,deposit,74
74,A11,HB 저축은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,6개월 이상,10만원 이상,제한없음,3.3,deposit,75
75,A11,HB 저축은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,9개월 이상,10만원 이상,제한없음,4.5,deposit,76
76,A11,HB 저축은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,10개월 이상,10만원 이상,제한없음,3.3,deposit,77
77,A11,HB 저축은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,12개월 이상,10만원 이상,제한없음,4.4,deposit,78
78,A11,HB 저축은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,13개월 이상,10만원 이상,제한없음,3.6,deposit,79
79,A11,HB 저축은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,36개월,10만원 이상,제한없음,3.6,deposit,80
80,A19,다올 저축은행,Fi정기예금,일정기간 목돈을 안정적으로 운용하려는 고객을 위한 거치식 예금,1개월 이상,1십만원 이상,제한없음,2.1,deposit,81
81,034,광주은행,넋이 예금,넋이 오월 정신을 기억하고 나눔의 가치 실천하는 정기예금,12개월,1백만원 이상,1억원 이하,2.95,deposit,82
82,A19,다올 저축은행,Fi정기예금,일정기간 목돈을 안정적으로 운용하려는 고객을 위한 거치식 예금,3개월 이상,1십만원 이상,제한없음,2.3,deposit,83
83,A19,다올 저축은행,Fi정기예금,일정기간 목돈을 안정적으로 운용하려는 고객을 위한 거치식 예금,6개월 이상,1십만원 이상,제한없음,2.5,deposit,84
84,A19,다올 저축은행,Fi정기예금,일정기간 목돈을 안정적으로 운용하려는 고객을 위한 거치식 예금,12개월,1십만원 이상,제한없음,3.95,deposit,85
85,A19,다올 저축은행,Fi정기예금,일정기간 목돈을 안정적으로 운용하려는 고객을 위한 거치식 예금,12개월 초과,1십만원 이상,제한없음,3.85,deposit,86
86,A19,다올 저축은행,Fi 리볼빙 정기예금,1년 회전주기마다 자동으로 Fi정기예금 12개월 금리에 금리를 더하여 회전되는 정기예금 상품,36개월,1십만원 이상,제한없음,4.0,deposit,87
87,034,광주은행,굿스타트예금,처음 또는 오랜만에 예금이라면! 광주은행에서 굿스타트하세요~ 우대금리 0.4%p,12개월,1백만원 이상,1억원 이하,3.29,deposit,88
88,034,광주은행,행운박스예금,「행운박스」에 수시「이벤트」를 시행·판매하는 개인전용 정기예금,12개월,1백만원 이상,1억원 이하,3.3,deposit,89
89,D07,머스트삼일저축은행,e-정기예금(단리),일정금액을 일정기간 동안 예치하여 월 단위로 정해진 이자를 받은 상품으로 목돈 운용에 적합,6개월 이상,10만원 이상,제한없음,4.3,deposit,90
90,034,광주은행,행운박스예금,「행운박스」에 수시「이벤트」를 시행·판매하는 개인전용 정기예금,1개월,1백만원 이상,1억원 이하,1.9,deposit,91
91,034,광주은행,행운박스예금,「행운박스」에 수시「이벤트」를 시행·판매하는 개인전용 정기예금,6개월,1백만원 이상,1억원 이하,3.2,deposit,92
92,007,수협은행,헤이(Hey)정기예금,우대금리 조건없이 간단하며 이벤트시 특별금리를 제공하는 비대면 정기예금,3개월 이상,십만원 이상,2억원 이하,3.6,deposit,93
93,034,광주은행,넋이 예금,넋이 오월 정신을 기억하고 나눔의 가치 실천하는 정기예금,24개월,1백만원 이상,1억원 이하,3.15,deposit,94
94,007,수협은행,일반정기예금,계약기간을 1개월이상 5년이하로 하는 거치식예금,1개월 이상,1만원 이상,제한없음,2.1,deposit,95
95,F05,오투저축은행,정기예금,일정기간 동안목돈을 예치하고 만기에  이자를 지급 받는 거치식 상품,6개월이상,10만원이상,제한없음,3.5,deposit,96
96,F05,오투저축은행,회전식정기예금(복리),회전기간별 약정이율로 복리계산하여 이자 및 원금을 만기시점에 일시지급,36개월,10만원이상,제한없음,4.3,deposit,97
97,D07,머스트삼일저축은행,e-정기예금(복리),일정금액을 일정기간 동안 예치하여 예치기간이 만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합,6개월 이상,10만원 이상,제한없음,4.3,deposit,98
98,D07,머스트삼일저축은행,e-정기예금(복리),일정금액을 일정기간 동안 예치하여 예치기간이 만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합,12개월,10만원 이상,제한없음,4.3,deposit,99
99,F02,상상인플러스저축은행,e-정기예금_단기,"영업점 방문없이 인터넷/스마트폰을 이용해 개설이 가능하며, 일정기간동안 목돈을 예치하고 매월 또는 만기에 이자를 지급 받는 거치식 상품입니다",1개월이상,10만원이상,제한없음,2.21,deposit,100
100,032,부산은행,LIVE정기예금,특판 전용 정기예금,3개월 이상,1천만원,제한없음,2.45,deposit,101
101,032,부산은행,LIVE정기예금,특판 전용 정기예금,12개월 이상,1천만원,제한없음,2.75,deposit,102
102,081,하나은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,1개월 이상,1만원 이상,제한없음,1.85,deposit,103
103,081,하나은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,3개월 이상,1만원 이상,제한없음,2.05,deposit,104
104,032,부산은행,LIVE정기예금,특판 전용 정기예금,6개월 이상,1천만원,제한없음,2.45,deposit,105
105,081,하나은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,6개월 이상,1만원 이상,제한없음,2.15,deposit,106
106,081,하나은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,12개월 이상,1만원 이상,제한없음,2.5,deposit,107
107,081,하나은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,24개월 이상,1만원 이상,제한없음,2.6,deposit,108
108,081,하나은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,36개월,1만원 이상,제한없음,2.7,deposit,109
109,081,하나은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,48개월,1만원 이상,제한없음,2.7,deposit,110
110,081,하나은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,60개월,1만원 이상,제한없음,2.7,deposit,111
111,032,부산은행,LIVE정기예금,특판 전용 정기예금,24개월 이상,1천만원,제한없음,2.7,deposit,112
112,A05,OK저축은행,OK e-안심앱플러스정기예금,OK모바일뱅킹앱에서 가입할 수 있는 1년 단위 회전식 정기예금,36개월,10만원 이상,100억원 이하,4.41,deposit,113
113,003,기업은행,i-ONE 놀이터예금,스탬프 적립에 따라 우대금리를 제공하는 비대면전용 거치식예금 상품,12개월,1백만원 이상,3천만원까지 (동일인당한도3천만원),3.25,deposit,114
114,088,신한은행,Tops보증 정기예금,회전기간 단위로 계약기간 이내에서 이자율이 변경 적용되는 정기예금,12개월 이상,3백만원 이상,제한없음,2.45,deposit,115
115,A14,신한저축은행,정기예금,목돈을 일정기간 동안 약정금리로 예치하는 목돈굴리기 상품,36개월,10만원 이상,제한없음,1.8,deposit,116
116,E05,센트럴저축은행,e-정기예금(복리식),일정기간을 정하여 자금을 예치하고 확정금리로 운영되는 상품,3개월 이상,10만원 이상,제한없음,2.1,deposit,117
117,E05,센트럴저축은행,e-정기예금(복리식),일정기간을 정하여 자금을 예치하고 확정금리로 운영되는 상품,1개월 이상,10만원 이상,제한없음,2.0,deposit,118
118,A15,애큐온저축은행,애큐온모바일예금,중도해지 손해 없는 고금리 정기예금,12개월,1백만원 이상,제한없음,3.3,deposit,119
119,A14,신한저축은행,정기예금,목돈을 일정기간 동안 약정금리로 예치하는 목돈굴리기 상품,3개월,10만원 이상,제한없음,2.9,deposit,120
120,A14,신한저축은행,정기예금,목돈을 일정기간 동안 약정금리로 예치하는 목돈굴리기 상품,6개월,10만원 이상,제한없음,3.0,deposit,121
121,A14,신한저축은행,정기예금,목돈을 일정기간 동안 약정금리로 예치하는 목돈굴리기 상품,12개월,10만원 이상,제한없음,3.8,deposit,122
122,A14,신한저축은행,정기예금,목돈을 일정기간 동안 약정금리로 예치하는 목돈굴리기 상품,24개월,10만원 이상,제한없음,1.8,deposit,123
123,A15,애큐온저축은행,찾아쓰는정기예금,중도해지 손해 없는 고금리 정기예금,36개월,1백만원 이상,제한없음,3.1,deposit,124
124,D02,대백저축은행,정기예금단리식,여유자금으로 높은 수익을 얻을 수 있는 대표적인 예금상품으로 여유자금을 일정기간 예치하고 매월 이자를 받는 상품,1개월 이상,"100,000원 이상",제한없음,2.9,deposit,125
125,D02,대백저축은행,정기예금단리식,여유자금으로 높은 수익을 얻을 수 있는 대표적인 예금상품으로 여유자금을 일정기간 예치하고 매월 이자를 받는 상품,3개월 이상,"100,000원 이상",제한없음,3.4,deposit,126
126,D02,대백저축은행,정기예금단리식,여유자금으로 높은 수익을 얻을 수 있는 대표적인 예금상품으로 여유자금을 일정기간 예치하고 매월 이자를 받는 상품,6개월 이상,"100,000원 이상",제한없음,3.8,deposit,127
127,D02,대백저축은행,정기예금단리식,여유자금으로 높은 수익을 얻을 수 있는 대표적인 예금상품으로 여유자금을 일정기간 예치하고 매월 이자를 받는 상품,12개월,"100,000원 이상",제한없음,4.5,deposit,128
128,D02,대백저축은행,정기예금단리식,여유자금으로 높은 수익을 얻을 수 있는 대표적인 예금상품으로 여유자금을 일정기간 예치하고 매월 이자를 받는 상품,12개월 초과,"100,000원 이상",제한없음,2.0,deposit,129
129,D02,대백저축은행,정기예금복리식,여유자금으로 높은 수익을 얻을 수 있는 대표적인 예금상품으로 여유자금을 일정기간 예치하고 매월 이자를 받는 상품,1개월 이상,"100,000원 이상",제한없음,2.9,deposit,130
130,D02,대백저축은행,정기예금복리식,여유자금으로 높은 수익을 얻을 수 있는 대표적인 예금상품으로 여유자금을 일정기간 예치하고 매월 이자를 받는 상품,3개월 이상,"100,000원 이상",제한없음,3.4,deposit,131
131,E05,센트럴저축은행,e-정기예금(단리식),일정기간을 정하여 자금을 예치하고 확정금리로 운영되는 상품,12개월,10만원 이상,제한없음,3.8,deposit,132
132,D02,대백저축은행,정기예금복리식,여유자금으로 높은 수익을 얻을 수 있는 대표적인 예금상품으로 여유자금을 일정기간 예치하고 매월 이자를 받는 상품,12개월,"100,000원 이상",제한없음,4.5,deposit,133
133,D02,대백저축은행,정기예금복리식,여유자금으로 높은 수익을 얻을 수 있는 대표적인 예금상품으로 여유자금을 일정기간 예치하고 매월 이자를 받는 상품,12개월 초과,"100,000원 이상",제한없음,2.0,deposit,134
134,D02,대백저축은행,애플정기예금단리식(인터넷뱅킹),여유자금으로 높은 수익을 얻을 수 있는 대표적인 예금상품으로 여유자금을 일정기간 예치하고 매월 이자를 받는 상품,6개월 이상,"100,000원 이상",제한없음,3.6,deposit,135
135,D02,대백저축은행,애플정기예금단리식(인터넷뱅킹),여유자금으로 높은 수익을 얻을 수 있는 대표적인 예금상품으로 여유자금을 일정기간 예치하고 매월 이자를 받는 상품,12개월,"100,000원 이상",제한없음,4.2,deposit,136
136,D02,대백저축은행,애플정기예금단리식(인터넷뱅킹),여유자금으로 높은 수익을 얻을 수 있는 대표적인 예금상품으로 여유자금을 일정기간 예치하고 매월 이자를 받는 상품,12개월 초과,"100,000원 이상",제한없음,2.0,deposit,137
137,D02,대백저축은행,애플정기예금복리식(인터넷뱅킹),목돈을 운영할 수 있는 예금상품 (만기일시 원리금 지급),6개월 이상,"100,000원 이상",제한없음,3.6,deposit,138
138,D02,대백저축은행,애플정기예금복리식(인터넷뱅킹),목돈을 운영할 수 있는 예금상품 (만기일시 원리금 지급),12개월 초과,"100,000원 이상",제한없음,2.0,deposit,139
