,bankCode,bankName,accountTypeName,accountDscription,subscriptionPeriod,minSubscriptionBalance,maxSubscriptionBalance,interesRate,type,accountTypeCode
139,D05,드림저축은행,정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. (매월 이자를 받으시는 단리식 정기예금),1개월 이상,10만원 이상,제한없음,1.5,deposit,140
140,F05,오투저축은행,정기예금,일정기간 동안목돈을 예치하고 만기에  이자를 지급 받는 거치식 상품,12개월이상,10만원이상,제한없음,4.3,deposit,141
141,D05,드림저축은행,정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. (매월 이자를 받으시는 단리식 정기예금),3개월 이상,10만원 이상,제한없음,2.5,deposit,142
142,D05,드림저축은행,정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. (매월 이자를 받으시는 단리식 정기예금),6개월 이상,10만원 이상,제한없음,3.5,deposit,143
143,D05,드림저축은행,정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. (매월 이자를 받으시는 단리식 정기예금),9개월 이상,10만원 이상,제한없음,3.5,deposit,144
144,D05,드림저축은행,정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. (매월 이자를 받으시는 단리식 정기예금),12개월 이상,10만원 이상,제한없음,4.4,deposit,145
145,D05,드림저축은행,정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. (매월 이자를 받으시는 단리식 정기예금),15개월 이상,10만원 이상,제한없음,4.1,deposit,146
146,D05,드림저축은행,정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. (매월 이자를 받으시는 단리식 정기예금),18개월 이상,10만원 이상,제한없음,3.1,deposit,147
147,D05,드림저축은행,정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. (매월 이자를 받으시는 단리식 정기예금),24개월 이상,10만원 이상,제한없음,3.1,deposit,148
148,D05,드림저축은행,정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. (매월 이자를 받으시는 단리식 정기예금),36개월,10만원 이상,제한없음,2.6,deposit,149
149,D05,드림저축은행,정기예금(복리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금 (매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식),1개월 이상,10만원 이상,제한없음,1.5,deposit,150
150,D05,드림저축은행,정기예금(복리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금 (매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식),3개월 이상,10만원 이상,제한없음,2.5,deposit,151
151,D05,드림저축은행,정기예금(복리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금 (매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식),6개월 이상,10만원 이상,제한없음,3.5,deposit,152
152,D05,드림저축은행,정기예금(복리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금 (매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식),12개월 이상,10만원 이상,제한없음,4.4,deposit,153
153,032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",3개월 이상,100원,제한없음,2.35,deposit,154
154,D05,드림저축은행,정기예금(복리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금 (매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식),15개월 이상,10만원 이상,제한없음,4.1,deposit,155
155,D05,드림저축은행,정기예금(복리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금 (매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식),18개월 이상,10만원 이상,제한없음,3.1,deposit,156
156,D05,드림저축은행,정기예금(복리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금 (매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식),24개월 이상,10만원 이상,제한없음,3.1,deposit,157
157,032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",6개월 이상,100원,제한없음,2.45,deposit,158
158,D05,드림저축은행,정기예금(복리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금 (매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식),36개월,10만원 이상,제한없음,2.6,deposit,159
159,D05,드림저축은행,"인터넷정기예금(단리식,1년이상)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,12개월 이상,10만원 이상,제한없음,4.3,deposit,160
160,D05,드림저축은행,"인터넷정기예금(단리식,1년이상)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,18개월 이상,10만원 이상,제한없음,3.1,deposit,161
161,D05,드림저축은행,"인터넷정기예금(단리식,1년이상)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,24개월 이상,10만원 이상,제한없음,3.1,deposit,162
162,D05,드림저축은행,"인터넷정기예금(단리식,1년이상)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,36개월,10만원 이상,제한없음,2.6,deposit,163
163,D05,드림저축은행,"인터넷정기예금(단리식,1년미만)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,1개월 이상,10만원 이상,제한없음,1.5,deposit,164
164,D05,드림저축은행,"인터넷정기예금(단리식,1년미만)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,3개월 이상,10만원 이상,제한없음,2.5,deposit,165
165,D05,드림저축은행,"인터넷정기예금(단리식,1년미만)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,6개월 이상,10만원 이상,제한없음,3.2,deposit,166
166,D05,드림저축은행,"인터넷정기예금(단리식,1년미만)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,9개월 이상,10만원 이상,제한없음,3.2,deposit,167
167,D05,드림저축은행,"인터넷정기예금(복리식,1년이상)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,12개월 이상,10만원 이상,제한없음,4.3,deposit,168
168,D05,드림저축은행,"인터넷정기예금(복리식,1년이상)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,15개월 이상,10만원 이상,제한없음,4.1,deposit,169
169,D05,드림저축은행,"인터넷정기예금(복리식,1년이상)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,18개월 이상,10만원 이상,제한없음,3.1,deposit,170
170,D05,드림저축은행,"인터넷정기예금(복리식,1년이상)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,24개월 이상,10만원 이상,제한없음,3.1,deposit,171
171,D05,드림저축은행,"인터넷정기예금(복리식,1년이상)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,36개월,10만원 이상,제한없음,2.6,deposit,172
172,D05,드림저축은행,"인터넷정기예금(복리식,1년미만)",매월 이자가 원금에 가산되어 만기시에 이자를 받으시는 복리식 정기예금.,1개월 이상,10만원 이상,제한없음,1.5,deposit,173
173,D05,드림저축은행,"인터넷정기예금(복리식,1년미만)",매월 이자가 원금에 가산되어 만기시에 이자를 받으시는 복리식 정기예금.,3개월 이상,10만원 이상,제한없음,2.5,deposit,174
174,D05,드림저축은행,"인터넷정기예금(복리식,1년미만)",매월 이자가 원금에 가산되어 만기시에 이자를 받으시는 복리식 정기예금.,6개월 이상,10만원 이상,제한없음,3.2,deposit,175
175,D05,드림저축은행,"인터넷정기예금(복리식,1년미만)",매월 이자가 원금에 가산되어 만기시에 이자를 받으시는 복리식 정기예금.,9개월 이상,10만원 이상,제한없음,3.2,deposit,176
176,D07,머스트삼일저축은행,정기예금 단리식,일정금액을 일정기간 동안 예치하여 월 단위 정해진 이자를 받은 상품으로 목돈 운용에 적합,1개월 이상,10만원 이상,제한없음,1.0,deposit,177
177,D05,드림저축은행,톡톡 정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,1개월 이상,10만원 이상,제한없음,1.5,deposit,178
178,D05,드림저축은행,톡톡 정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,3개월 이상,10만원 이상,제한없음,2.5,deposit,179
179,D05,드림저축은행,톡톡 정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,6개월 이상,10만원 이상,제한없음,3.2,deposit,180
180,D05,드림저축은행,톡톡 정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,9개월 이상,10만원 이상,제한없음,3.2,deposit,181
181,D05,드림저축은행,톡톡 정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,12개월 이상,10만원 이상,제한없음,4.3,deposit,182
182,D05,드림저축은행,톡톡 정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,15개월 이상,10만원 이상,제한없음,4.1,deposit,183
183,D05,드림저축은행,톡톡 정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,18개월 이상,10만원 이상,제한없음,3.1,deposit,184
184,D05,드림저축은행,톡톡 정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,24개월 이상,10만원 이상,제한없음,3.1,deposit,185
185,D05,드림저축은행,톡톡 정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,36개월,10만원 이상,제한없음,2.6,deposit,186
186,D05,드림저축은행,톡톡 정기예금(복리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,1개월 이상,10만원 이상,제한없음,1.5,deposit,187
187,D05,드림저축은행,톡톡 정기예금(복리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,3개월 이상,10만원 이상,제한없음,2.5,deposit,188
188,D05,드림저축은행,톡톡 정기예금(복리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,18개월 이상,10만원 이상,제한없음,3.1,deposit,189
189,D07,머스트삼일저축은행,정기예금 단리식,일정금액을 일정기간 동안 예치하여 월 단위 정해진 이자를 받은 상품으로 목돈 운용에 적합,36개월 이상,10만원 이상,제한없음,2.8,deposit,190
190,D07,머스트삼일저축은행,비대면정기예금 복리식,일정금액을 일정기간 동안 예치하여 예치기간이 만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합,6개월 이상,10만원 이상,제한없음,4.3,deposit,191
191,D07,머스트삼일저축은행,비대면정기예금 복리식,일정금액을 일정기간 동안 예치하여 예치기간이 만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합,12개월,10만원 이상,제한없음,4.3,deposit,192
192,D07,머스트삼일저축은행,비대면정기예금 단리식,일정금액을 일정기간 동안 예치하여 월 단위로 정해진 이자를 받은 상품으로 목돈 운용에 적합,6개월 이상,10만원 이상,제한없음,4.3,deposit,193
193,D07,머스트삼일저축은행,비대면정기예금 단리식,일정금액을 일정기간 동안 예치하여 월 단위로 정해진 이자를 받은 상품으로 목돈 운용에 적합,12개월,10만원 이상,제한없음,4.3,deposit,194
194,A09,The-K 저축은행,정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 예금,18개월 이상,10만원 이상,제한없음,3.3,deposit,195
195,A06,OSB저축은행,단리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",9개월 이상,10만원,제한없음,4.5,deposit,196
196,A06,OSB저축은행,단리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",10개월 이상,10만원,제한없음,4.3,deposit,197
197,D08,엠에스저축은행,정기예금(단리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,1개월 이상,10만원 이상,제한없음,2.4,deposit,198
198,D08,엠에스저축은행,정기예금(단리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,3개월 이상,10만원 이상,제한없음,2.6,deposit,199
199,D08,엠에스저축은행,정기예금(단리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,6개월 이상,10만원 이상,제한없음,3.0,deposit,200
200,A06,OSB저축은행,복리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",1개월 이상,10만원,제한없음,1.2,deposit,201
201,D08,엠에스저축은행,정기예금(단리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,12개월,10만원 이상,제한없음,4.3,deposit,202
202,D08,엠에스저축은행,정기예금(단리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,13개월 이상,10만원 이상,제한없음,4.0,deposit,203
203,D08,엠에스저축은행,정기예금(단리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,15개월 이상,10만원 이상,제한없음,4.0,deposit,204
204,D08,엠에스저축은행,정기예금(단리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,18개월 이상,10만원 이상,제한없음,4.0,deposit,205
205,D08,엠에스저축은행,정기예금(단리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,24개월 이상,10만원 이상,제한없음,3.1,deposit,206
206,D08,엠에스저축은행,정기예금(단리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,36개월,10만원 이상,제한없음,3.1,deposit,207
207,D08,엠에스저축은행,정기예금(복리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,1개월 이상,10만원 이상,제한없음,2.4,deposit,208
208,D08,엠에스저축은행,정기예금(복리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,3개월 이상,10만원 이상,제한없음,2.6,deposit,209
209,D08,엠에스저축은행,정기예금(복리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,6개월 이상,10만원 이상,제한없음,3.0,deposit,210
210,D08,엠에스저축은행,정기예금(복리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,12개월,10만원 이상,제한없음,4.3,deposit,211
211,D08,엠에스저축은행,정기예금(복리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,13개월 이상,10만원 이상,제한없음,4.0,deposit,212
212,D08,엠에스저축은행,정기예금(복리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,15개월 이상,10만원 이상,제한없음,4.0,deposit,213
213,D08,엠에스저축은행,정기예금(복리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,18개월 이상,10만원 이상,제한없음,4.0,deposit,214
214,D08,엠에스저축은행,정기예금(복리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,24개월 이상,10만원 이상,제한없음,3.1,deposit,215
215,088,신한은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 목적으로 하는 확정금리 예금상품,3개월 이상,1만원 이상,제한없음,2.25,deposit,216
216,D08,엠에스저축은행,정기예금(복리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,36개월,10만원 이상,제한없음,3.1,deposit,217
217,D08,엠에스저축은행,e-정기예금(단리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,1개월 이상,10만원 이상,제한없음,2.4,deposit,218
218,D08,엠에스저축은행,e-정기예금(단리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,3개월 이상,10만원 이상,제한없음,2.6,deposit,219
219,E05,센트럴저축은행,정기예금(단리식),목돈을 일정기간 동안 예치하고 안정적인 수익을 추구하는 거치식 예금상품,6개월 이상,10만원 이상,제한없음,2.4,deposit,220
220,D08,엠에스저축은행,e-정기예금(단리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,6개월 이상,10만원 이상,제한없음,3.0,deposit,221
221,D08,엠에스저축은행,e-정기예금(단리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,12개월,10만원 이상,제한없음,4.3,deposit,222
222,D08,엠에스저축은행,e-정기예금(단리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,13개월 이상,10만원 이상,제한없음,3.3,deposit,223
223,D08,엠에스저축은행,e-정기예금(단리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,15개월 이상,10만원 이상,제한없음,3.3,deposit,224
224,D08,엠에스저축은행,e-정기예금(단리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,18개월 이상,10만원 이상,제한없음,3.3,deposit,225
225,A06,OSB저축은행,복리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",3개월 이상,10만원,제한없음,1.9,deposit,226
226,A06,OSB저축은행,복리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",6개월 이상,10만원,제한없음,4.3,deposit,227
227,D08,엠에스저축은행,e-정기예금(단리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,24개월 이상,10만원 이상,제한없음,3.1,deposit,228
228,D08,엠에스저축은행,e-정기예금(단리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,36개월,10만원 이상,제한없음,3.1,deposit,229
229,D08,엠에스저축은행,e-정기예금(복리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,1개월 이상,10만원 이상,제한없음,2.4,deposit,230
230,D08,엠에스저축은행,e-정기예금(복리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,3개월 이상,10만원 이상,제한없음,2.6,deposit,231
231,D08,엠에스저축은행,e-정기예금(복리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,6개월 이상,10만원 이상,제한없음,3.0,deposit,232
232,D08,엠에스저축은행,e-정기예금(복리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,12개월,10만원 이상,제한없음,4.3,deposit,233
233,D08,엠에스저축은행,e-정기예금(복리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,13개월 이상,10만원 이상,제한없음,3.3,deposit,234
234,D08,엠에스저축은행,e-정기예금(복리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,15개월 이상,10만원 이상,제한없음,3.3,deposit,235
235,D08,엠에스저축은행,e-정기예금(복리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,18개월 이상,10만원 이상,제한없음,3.3,deposit,236
236,D08,엠에스저축은행,e-정기예금(복리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,24개월 이상,10만원 이상,제한없음,3.1,deposit,237
237,D08,엠에스저축은행,e-정기예금(복리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,36개월,10만원 이상,제한없음,3.1,deposit,238
238,088,신한은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 목적으로 하는 확정금리 예금상품,6개월 이상,1만원 이상,제한없음,2.55,deposit,239
239,A06,OSB저축은행,복리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",9개월 이상,10만원,제한없음,4.5,deposit,240
240,A06,OSB저축은행,복리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",10개월 이상,10만원,제한없음,4.3,deposit,241
241,A06,OSB저축은행,복리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",24개월 이상,10만원,제한없음,3.7,deposit,242
242,011,농협은행,정기예금,예치기간을 미리 약정하고 일정금액을 예입하는 거치식 예금,3개월이상,1천원이상,제한없음,0.65,deposit,243
243,011,농협은행,NH올원e예금,손쉽게 목돈을 굴릴 수 있는 농협은행 비대면 전용 대표 거치식 예금,1개월 이상,10만원 이상,10억원 이하,1.4,deposit,244
244,011,농협은행,NH올원e예금,손쉽게 목돈을 굴릴 수 있는 농협은행 비대면 전용 대표 거치식 예금,3개월 이상,10만원 이상,10억원 이하,1.67,deposit,245
245,020,우리은행,우리 SUPER 정기예금,"만기일을 일, 월 단위로 자유롭게 선택할 수 있으며 10년까지 자동 재예치가 가능한 다양한 기능을 갖춘 개인고객 대상 전용 정기예금",24개월 이상,1백만원 이상,제한없음,3.2,deposit,246
246,011,농협은행,NH올원e예금,손쉽게 목돈을 굴릴 수 있는 농협은행 비대면 전용 대표 거치식 예금,6개월 이상,10만원 이상,10억원 이하,2.17,deposit,247
247,011,농협은행,NH올원e예금,손쉽게 목돈을 굴릴 수 있는 농협은행 비대면 전용 대표 거치식 예금,12개월 이상,10만원 이상,10억원 이하,2.52,deposit,248
248,011,농협은행,NH올원e예금,손쉽게 목돈을 굴릴 수 있는 농협은행 비대면 전용 대표 거치식 예금,24개월 이상,10만원 이상,10억원 이하,3.0,deposit,249
249,011,농협은행,NH왈츠회전예금 Ⅱ,월단위로 회전주기를 선택할 수 있고 회전주기마다 실세금리를 적용하는 개인전용 회전예금,12개월 이상,300만원 이상,제한없음,0.77,deposit,250
250,011,농협은행,NH왈츠회전예금 Ⅱ,월단위로 회전주기를 선택할 수 있고 회전주기마다 실세금리를 적용하는 개인전용 회전예금,12개월 이상,300만원 이상,제한없음,1.06,deposit,251
251,011,농협은행,NH왈츠회전예금 Ⅱ,월단위로 회전주기를 선택할 수 있고 회전주기마다 실세금리를 적용하는 개인전용 회전예금,12개월 이상,300만원 이상,제한없음,1.35,deposit,252
252,088,신한은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 목적으로 하는 확정금리 예금상품,12개월 이상,1만원 이상,제한없음,2.65,deposit,253
